Entrada/Saída,Data,Movimentação,Produto,Instituição,Quantidade,Preço unitário,Valor da Operação
Credito,14/02/2025,APLICACAO,CDB - [CÓDIGO] - [BANCO],[BANCO],34331,R$ 0.01,R$ 343.31
Credito,14/02/2025,Rendimento,CPTI11 - [NOME DO FUNDO],[BANCO],7,R$ 1.00,R$ 7.00
Credito,14/02/2025,Rendimento,FLMA11 - [NOME DO FUNDO],[BANCO],11,R$ 0.88,R$ 9.68
Credito,14/02/2025,Rendimento,JURO11 - [NOME DO FUNDO],[BANCO],9,R$ 0.75,R$ 6.75
Credito,14/02/2025,Rendimento,TRBL11 - [NOME DO FUNDO],[BANCO],48,R$ 0.62,R$ 29.76
Credito,13/02/2025,Rendimento,KNSC11 - [NOME DO FUNDO],[BANCO],433,R$ 0.10,R$ 43.30
Credito,07/02/2025,Rendimento,RURA11 - [NOME DO FUNDO],[BANCO],84,R$ 0.07,R$ 5.88
Credito,07/02/2025,Rendimento,RZTR11 - [NOME DO FUNDO],[BANCO],36,R$ 1.05,R$ 37.80
Credito,04/02/2025,Transferência - Liquidação,TRBL11 - [NOME DO FUNDO],[BANCO],48,R$ 62.01,R$ 2976.48
Credito,03/02/2025,Transferência - Liquidação,ABCB4 - [BANCO],[BANCO],99,R$ 20.25,R$ 2004.75
Debito,03/02/2025,RESGATE ANTECIPADO,CDB - [CÓDIGO] - [BANCO],[BANCO],274247,R$ 0.01,R$ 3034.99
Credito,03/02/2025,Transferência - Liquidação,CMIG4 - [NOME DA EMPRESA],[BANCO],137,R$ 10.93,R$ 1497.41
Credito,03/02/2025,Transferência - Liquidação,CPTI11 - [NOME DO FUNDO],[BANCO],7,R$ 75.29,R$ 527.03
Credito,03/02/2025,Transferência - Liquidação,CSMG3 - [NOME DA EMPRESA],[BANCO],68,R$ 22.33,R$ 1518.44
Credito,03/02/2025,Transferência - Liquidação,CVBI11 - [NOME DO FUNDO],[BANCO],10,R$ 75.55,R$ 755.50
